brand,model,body,color,year,fuel,kilometers,engine,transmission,price,gov
Hyundai,Accent,Sedan,Gray,2011,Benzine,99999,1600 CC,Automatic,170000.0,Cairo
Hyundai,Accent,Sedan,Green,1999,Benzine,200000,1000 - 1300 CC,Manual,58000.0,Beni Suef
Hyundai,Accent,Sedan,Other Color,2000,Benzine,200000,1400 - 1500 CC,Manual,67000.0,Cairo
Hyundai,Accent,Sedan,Other Color,2011,Benzine,200000,1600 CC,Automatic,145000.0,Minya
Hyundai,Accent,Sedan,Silver,2006,Benzine,29999,1000 - 1300 CC,Manual,69000.0,Damietta
Hyundai,Accent,Sedan,Burgundy,2016,Benzine,69999,1600 CC,Automatic,195000.0,Cairo
Hyundai,Accent,Sedan,Red,2008,Benzine,200000,1600 CC,Manual,78000.0,Giza
Hyundai,Accent,Sedan,Burgundy,1998,Benzine,19999,1400 - 1500 CC,Manual,65000.0,Monufia
Hyundai,Accent,Sedan,White,2015,Benzine,119999,1600 CC,Automatic,230000.0,Cairo
Hyundai,Accent,Sedan,White,2001,Natural Gas,69999,1400 - 1500 CC,Manual,60000.0,Suez
Hyundai,Accent,Sedan,White,2005,Natural Gas,99999,1400 - 1500 CC,Manual,52000.0,Suez
Hyundai,Accent,Sedan,Other Color,2006,Benzine,9999,1000 - 1300 CC,Manual,90000.0,Sharqia
Hyundai,Accent,Sedan,Green,1999,Benzine,19999,1000 - 1300 CC,Manual,60000.0,Dakahlia
Hyundai,Accent,Sedan,Silver,2012,Benzine,159999,1600 CC,Automatic,173000.0,Cairo
Hyundai,Accent,Sedan,Silver,2000,Benzine,29999,1000 - 1300 CC,Manual,62000.0,Ismailia
Hyundai,Accent,Sedan,Black,2011,Benzine,159999,1600 CC,Manual,144000.0,Cairo
Hyundai,Accent,Sedan,Black,2012,Benzine,200000,1600 CC,Manual,147000.0,Alexandria
Hyundai,Accent,Sedan,Silver,1998,Benzine,199999,1400 - 1500 CC,Manual,75000.0,Cairo
Hyundai,Accent,Sedan,Blue- Navy Blue,2006,Benzine,200000,1000 - 1300 CC,Manual,68000.0,Dakahlia
Hyundai,Accent,Sedan,Other Color,1999,Benzine,9999,1400 - 1500 CC,Manual,72000.0,Giza
Hyundai,Accent,Sedan,Other Color,1999,Benzine,200000,1400 - 1500 CC,Manual,72000.0,Kafr al-Sheikh
Hyundai,Accent,Sedan,Other Color,2010,Benzine,9999,1600 CC,Manual,10000.0,Qena
Hyundai,Accent,Sedan,Other Color,2000,Natural Gas,9999,1000 - 1300 CC,Manual,40000.0,Ismailia
Hyundai,Accent,Sedan,Gold,2010,Benzine,199999,1600 CC,Manual,140000.0,Alexandria
Hyundai,Accent,Sedan,Green,2006,Benzine,200000,1400 - 1500 CC,Manual,65000.0,Ismailia
Hyundai,Accent,Sedan,Black,2011,Benzine,199999,1600 CC,Manual,155000.0,Cairo
Hyundai,Accent,Sedan,Other Color,1996,Benzine,139999,1400 - 1500 CC,Automatic,55000.0,Port Said
Hyundai,Accent,Sedan,Silver,2000,Benzine,19999,1000 - 1300 CC,Manual,53000.0,Monufia
Hyundai,Accent,Sedan,White,2006,Benzine,9999,1400 - 1500 CC,Automatic,75000.0,Giza
Hyundai,Accent,Sedan,Other Color,2006,Benzine,200000,1000 - 1300 CC,Manual,78000.0,Red Sea
Hyundai,Accent,Sedan,Other Color,2006,Benzine,39999,1000 - 1300 CC,Manual,65000.0,Fayoum
Hyundai,Accent,Sedan,Gold,1999,Benzine,19999,1000 - 1300 CC,Manual,73000.0,Ismailia
Hyundai,Accent,Sedan,Brown,2015,Benzine,179999,1600 CC,Automatic,200000.0,Qalyubia
Hyundai,Accent,Sedan,Red,2021,Benzine,19999,1600 CC,Automatic,295000.0,Minya
Hyundai,Accent,Sedan,Other Color,2000,Benzine,19999,1600 CC,Manual,72000.0,Dakahlia
Hyundai,Accent,Sedan,Other Color,2011,Benzine,19999,1600 CC,Automatic,158000.0,Dakahlia
Hyundai,Accent,Sedan,Gray,2013,Benzine,119999,1600 CC,Manual,155000.0,Giza
Hyundai,Accent,Sedan,Blue- Navy Blue,2016,Benzine,139999,1600 CC,Automatic,245000.0,Cairo
Hyundai,Accent,Sedan,Beige,2006,Benzine,139999,1000 - 1300 CC,Manual,80000.0,Cairo
Hyundai,Accent,Sedan,White,1998,Benzine,200000,1400 - 1500 CC,Manual,25000.0,Sharqia
Hyundai,Accent,Sedan,Black,2011,Benzine,200000,1600 CC,Manual,110000.0,Giza
Hyundai,Accent,Sedan,Gray,2004,Benzine,159999,1000 - 1300 CC,Manual,73000.0,Ismailia
Hyundai,Accent,Sedan,Black,2019,Benzine,89999,1600 CC,Automatic,250000.0,Dakahlia
Hyundai,Accent,Sedan,Beige,1999,Benzine,119999,1000 - 1300 CC,Manual,70000.0,Giza
Hyundai,Accent,Sedan,Green,2000,Benzine,119999,1400 - 1500 CC,Manual,65000.0,Luxor
Hyundai,Accent,Sedan,Other Color,2000,Benzine,19999,1000 - 1300 CC,Manual,77000.0,Red Sea
Hyundai,Accent,Sedan,Red,2000,Benzine,29999,1400 - 1500 CC,Manual,60000.0,Gharbia
Hyundai,Accent,Sedan,Blue- Navy Blue,2020,Benzine,29999,1600 CC,Automatic,300000.0,Cairo
Hyundai,Accent,Sedan,Gray,2010,Benzine,9999,1000 - 1300 CC,Manual,135000.0,Alexandria
Hyundai,Accent,Sedan,Blue- Navy Blue,2008,Benzine,179999,1600 CC,Manual,128000.0,Alexandria
Hyundai,Accent,Sedan,Other Color,2001,Benzine,179999,1600 CC,Manual,70000.0,Monufia
Hyundai,Accent,Sedan,Silver,2006,Benzine,119999,1000 - 1300 CC,Manual,83000.0,Matruh
Hyundai,Accent,Sedan,Black,2012,Benzine,200000,1600 CC,Automatic,175000.0,Gharbia
Hyundai,Accent,Sedan,Burgundy,2019,Benzine,159999,1600 CC,Automatic,250000.0,Giza
Hyundai,Accent,Sedan,Other Color,2010,Benzine,9999,1600 CC,Manual,135000.0,Cairo
Hyundai,Accent,Sedan,Black,2015,Benzine,119999,1600 CC,Automatic,195000.0,Qalyubia
Hyundai,Accent,Sedan,Red,2005,Benzine,19999,1000 - 1300 CC,Manual,75000.0,Cairo
Hyundai,Accent,Sedan,Green,2000,Benzine,29999,1400 - 1500 CC,Manual,65000.0,Cairo
Hyundai,Accent,Sedan,Other Color,2010,Benzine,159999,1600 CC,Automatic,153000.0,Cairo
Hyundai,Accent,Sedan,Black,1997,Benzine,200000,1400 - 1500 CC,Manual,42000.0,Cairo
Hyundai,Accent,Sedan,Yellow,1998,Benzine,99999,1600 CC,Manual,57000.0,Alexandria
Hyundai,Accent,Sedan,Silver,1999,Benzine,119999,1400 - 1500 CC,Manual,68000.0,Sharqia
Hyundai,Accent,Sedan,Blue- Navy Blue,2000,Benzine,200000,1000 - 1300 CC,Manual,55000.0,Cairo
Hyundai,Accent,Sedan,Silver,1999,Benzine,200000,1000 - 1300 CC,Manual,55000.0,Alexandria
Hyundai,Accent,Sedan,Other Color,1999,Benzine,19999,1400 - 1500 CC,Manual,75000.0,Giza
Hyundai,Accent,Sedan,Other Color,2012,Benzine,200000,1600 CC,Automatic,175000.0,Ismailia
Hyundai,Accent,Sedan,White,2000,Benzine,200000,1400 - 1500 CC,Automatic,65000.0,Giza
Hyundai,Accent,Sedan,Blue- Navy Blue,2011,Benzine,9999,1600 CC,Manual,120000.0,Beni Suef
Hyundai,Accent,Sedan,Red,2008,Benzine,29999,1600 CC,Manual,130000.0,South Sinai
Hyundai,Accent,Sedan,Silver,2001,Benzine,159999,1400 - 1500 CC,Automatic,90000.0,Cairo
Hyundai,Accent,Sedan,Gold,2003,Benzine,200000,1000 - 1300 CC,Manual,72000.0,Giza
Hyundai,Accent,Sedan,Other Color,2021,Benzine,9999,1600 CC,Automatic,29500.0,Giza
Hyundai,Accent,Sedan,Silver,1999,Benzine,9999,1400 - 1500 CC,Manual,69000.0,Fayoum
Hyundai,Accent,Sedan,Black,2016,Benzine,89999,1600 CC,Automatic,223000.0,Alexandria
Hyundai,Accent,Sedan,Gray,2014,Benzine,159999,1600 CC,Automatic,180000.0,Cairo
Hyundai,Accent,Sedan,Red,2006,Benzine,49999,1000 - 1300 CC,Manual,97000.0,Sharqia
Hyundai,Accent,Sedan,Burgundy,2000,Benzine,200000,1000 - 1300 CC,Manual,75000.0,Kafr al-Sheikh
Hyundai,Accent,Sedan,Blue- Navy Blue,2010,Benzine,9999,1600 CC,Manual,135000.0,Asyut
Hyundai,Accent,Sedan,White,2000,Benzine,29999,1400 - 1500 CC,Manual,60000.0,Cairo
Hyundai,Accent,Sedan,Other Color,2012,Benzine,139999,1600 CC,Automatic,140000.0,Alexandria
Hyundai,Accent,Sedan,Red,2000,Benzine,9999,1000 - 1300 CC,Manual,65000.0,Ismailia
Hyundai,Accent,Sedan,Silver,2010,Benzine,139999,1600 CC,Manual,150000.0,Alexandria
Hyundai,Accent,Sedan,White,1996,Benzine,19999,1400 - 1500 CC,Automatic,70000.0,Cairo
Hyundai,Accent,Sedan,Red,2006,Benzine,59999,1000 - 1300 CC,Manual,90000.0,Alexandria
Hyundai,Accent,Sedan,Other Color,2010,Benzine,139999,1600 CC,Automatic,185000.0,Cairo
